Name,Street,City,Zip,State
Walmart,8107 Governor Ritchie Hwy,Pasadena,21122,Maryland
Walmart,407 George Clauss Blvd,Severn,21144,Maryland
Walmart,3300 Crain Hwy,Bowie,20716,Maryland
Walmart,6210 Annapolis Rd,Landover Hills,20784,Maryland
Walmart,6721 Chesapeake Center Dr,Glen Burnie,21060,Maryland
Walmart,6405 Dobbin Rd,Columbia,21045,Maryland
Target,1911 Towne Centre Blvd,Annapolis,21401,Maryland
Target,2384 Brandermill Blvd,Gambrills,21054,Maryland
Target,12000 Cherry Hill Rd,Silver Spring,20904,Maryland
Target,3343 Corridor Marketplace,Laurel,20724,Maryland
Target,4600 Mitchellville Rd,Bowie,20716,Maryland
